asn,prefix,as_path
174,10.18.1.0/24,174
174,10.18.0.0/24,174
46,10.16.1.0/24,46
46,10.16.0.0/24,46
43,10.15.1.0/24,43
43,10.15.0.0/24,43
42,10.14.1.0/24,42
42,10.14.0.0/24,42
35,10.13.1.0/24,35
35,10.13.0.0/24,35
1,10.0.1.0/24,1
1,10.0.0.0/24,1
27,10.10.1.0/24,27
27,10.10.0.0/24,27
2,10.1.1.0/24,2
2,10.1.0.0/24,2
3,10.2.1.0/24,3
3,10.2.0.0/24,3
16,10.8.1.0/24,16
16,10.8.0.0/24,16
34,10.12.1.0/24,34
34,10.12.0.0/24,34
5,10.4.1.0/24,5
5,10.4.0.0/24,5
8,10.5.1.0/24,8
8,10.5.0.0/24,8
68,10.17.1.0/24,68
68,10.17.0.0/24,68
10,10.6.1.0/24,10
10,10.6.0.0/24,10
12,10.7.1.0/24,12
12,10.7.0.0/24,12
25,10.0.1.0/24,25
25,10.0.0.0/24,25
24,10.9.1.0/24,24
24,10.9.0.0/24,24
4,10.3.1.0/24,4
4,10.3.0.0/24,4
33,10.11.1.0/24,33
33,10.11.0.0/24,33
